CELL_LINE	TISSUE	COMPOUND_A	COMPOUND_B	MAX_CONC_A	IC50_A	H_A	Einf_A	MAX_CONC_B	IC50_B	H_B	Einf_B	SYNERGY_SCORE	COMBINATION_ID	DATASET	SYNERGY_PRED
MFM-223	breast	EGFR	AKT	0.1	0.037109016	10	87.79939362	1	0.292691959	1.1361634	4.43343264	-22.871	AKT.EGFR	train	4.89382
BT-20	breast	EGFR	AKT_1	0.1	0.080355151	0.8289283	68.61381303	1	0.332362032	0.9906131	61.59246182	55.06239	AKT_1.EGFR	train	34.82246
CAL-148	breast	EGFR	AKT_1	0.1	1	0	100	1	0.201394105	1.3629929	18.67872623	2.736998	AKT_1.EGFR	train	19.09332
HCC1143	breast	EGFR	AKT_1	0.1	0.002285489	1.0904982	65.65144773	1	1	0.4602867	48.66711623	23.01569	AKT_1.EGFR	train	13.281528
HCC1187	breast	EGFR	AKT_1	0.1	1	0	100	1	0.074495909	1.0467652	41.54414599	-10.01942	AKT_1.EGFR	train	10.951285
HCC1395	breast	EGFR	AKT_1	0.1	1.00E-05	0.1	93.6363029	1	1	0.660699	0.26501941	9.610014	AKT_1.EGFR	train	28.09809
HCC38	breast	EGFR	AKT_1	0.1	1	0	100	1	1	0	100	22.76305	AKT_1.EGFR	train	19.11627
HCC70	breast	EGFR	AKT_1	0.1	0.1	10	94.6000733	1	0.208934027	1.3842676	24.32719377	47.21543	AKT_1.EGFR	train	16.673738
Hs-578-T	breast	EGFR	AKT_1	0.1	1	0	100	1	0.112009924	10	45.34893869	-38.83305	AKT_1.EGFR	train	6.0719113
MDA-MB-436	breast	EGFR	AKT_1	0.1	0.028558388	10	94.1999791	1	1	0.7890119	77.03759006	12.50661	AKT_1.EGFR	train	7.520537
MDA-MB-453	breast	EGFR	AKT_1	0.1	0.059930122	0.5131004	0	1	0.064469903	0.8818056	3.10565974	35.65096	AKT_1.EGFR	train	35.374615
MDA-MB-468	breast	EGFR	AKT_1	0.1	0.040987363	0.9559652	58.08535914	1	1	0.7419602	11.03481013	69.06695	AKT_1.EGFR	train	45.030388
BT-20	breast	EGFR	BCL2_BCL2L1	0.1	0.010291885	10	87.3998739	1	1	10	77.20015393	10.4119	BCL2_BCL2L1.EGFR	train	9.705445
BT-549	breast	EGFR	BCL2_BCL2L1	0.1	0.1	10	86.4000758	1	0.256322074	10	89.49864756	-8.253868	BCL2_BCL2L1.EGFR	train	-7.6024203
HCC1143	breast	EGFR	BCL2_BCL2L1	0.1	0.003345621	1.3259626	64.97837349	1	1	1.2341979	13.84486448	11.50638	BCL2_BCL2L1.EGFR	train	0.8641978
HCC1187	breast	EGFR	BCL2_BCL2L1	0.1	1	0	100	1	1	0	100	-8.017595	BCL2_BCL2L1.EGFR	train	-2.1985042
HCC1395	breast	EGFR	BCL2_BCL2L1	0.1	1	0	100	1	1	0	100	25.22752	BCL2_BCL2L1.EGFR	train	0.9176019
HCC1428	breast	EGFR	BCL2_BCL2L1	0.1	1	0	100	1	0.144687009	0.8736524	0	-0.2366701	BCL2_BCL2L1.EGFR	train	-1.685466
HCC38	breast	EGFR	BCL2_BCL2L1	0.1	0.1	10	93.80017016	1	0.264044718	10	10.59982968	5.717349	BCL2_BCL2L1.EGFR	train	10.922498
HCC70	breast	EGFR	BCL2_BCL2L1	0.1	1	0	100	1	1	0	100	-17.26343	BCL2_BCL2L1.EGFR	train	-8.563115
MDA-MB-231	breast	EGFR	BCL2_BCL2L1	0.1	1	0	100	1	0.315943596	10	69.19965798	14.30364	BCL2_BCL2L1.EGFR	train	0.9825957
MDA-MB-453	breast	EGFR	BCL2_BCL2L1	0.1	0.01085771	1.4428002	47.71073909	1	1	0.5143428	57.00407916	35.51502	BCL2_BCL2L1.EGFR	train	14.366073
MFM-223	breast	EGFR	BCL2_BCL2L1	0.1	1	0	100	1	1	0	100	-32.75178	BCL2_BCL2L1.EGFR	train	-5.0917716
BT-20	breast	FGFR	EGFR	1	1	10	88.00002132	0.1	0.021527837	1.8314489	88.8320322	19.19952	EGFR.FGFR	train	15.215247
BT-549	breast	FGFR	EGFR	1	0.153596127	2.7090823	62.85427763	0.1	0.007433144	10	93.59576001	-3.295388	EGFR.FGFR	train	2.1037045
CAL-148	breast	FGFR	EGFR	1	1	0	100	0.1	1.00E-05	0.1	88.30077248	-47.35924	EGFR.FGFR	train	-7.405202
CAMA-1	breast	FGFR	EGFR	1	1	10	75.40015843	0.1	0.000781695	1.9081689	91.8214462	-17.92891	EGFR.FGFR	train	-4.896836
HCC1395	breast	FGFR	EGFR	1	0.013034717	2.1859059	48.96726959	0.1	0.067389365	1.2753036	90.21014932	51.98533	EGFR.FGFR	train	25.368397
HCC1937	breast	FGFR	EGFR	1	1	0	100	0.1	0.011119936	0.7510882	76.59460936	30.0064	EGFR.FGFR	train	16.435783
HCC70	breast	FGFR	EGFR	1	1	0	100	0.1	1	0	100	-12.35887	EGFR.FGFR	train	-6.740009
MDA-MB-157	breast	FGFR	EGFR	1	0.030290617	1.7043017	36.60472872	0.1	0.1	10	93.00009454	14.61433	EGFR.FGFR	train	20.331734
MDA-MB-231	breast	FGFR	EGFR	1	1	0	100	0.1	1	0	100	-8.43381	EGFR.FGFR	train	-2.7405593
MFM-223	breast	FGFR	EGFR	1	0.245902906	0.5030193	0	0.1	1	0	100	-0.4352172	EGFR.FGFR	train	4.3305864
BT-20	breast	MAP2K_1	EGFR	1	0.129993535	0.9991397	49.261173	0.1	0.015227843	1.3736771	76.15891357	53.61903	EGFR.MAP2K_1	train	34.362476
BT-549	breast	MAP2K_1	EGFR	1	0.022019292	4.2802915	86.72295403	0.1	0.001093034	10	90.72501194	-5.554851	EGFR.MAP2K_1	train	7.6400948
CAL-120	breast	MAP2K_1	EGFR	1	0.017951961	10	93.95309874	0.1	1	0	100	6.416326	EGFR.MAP2K_1	train	11.128116
CAL-148	breast	MAP2K_1	EGFR	1	0.007127925	1.5945627	81.40696124	0.1	0.009612811	1.860557	88.88424212	-4.482228	EGFR.MAP2K_1	train	15.288665
CAL-51	breast	MAP2K_1	EGFR	1	1	10	83.20009228	0.1	0.1	10	78.40000239	3.35151	EGFR.MAP2K_1	train	11.050123
CAMA-1	breast	MAP2K_1	EGFR	1	1	0	100	0.1	1	0	100	17.71496	EGFR.MAP2K_1	train	14.086586
HCC1428	breast	MAP2K_1	EGFR	1	1	0	100	0.1	1	0	100	-30.01339	EGFR.MAP2K_1	train	2.9494164
MDA-MB-231	breast	MAP2K_1	EGFR	1	0.896425302	0.7861114	5.76053412	0.1	1	0	100	20.14626	EGFR.MAP2K_1	train	15.623202
MDA-MB-453	breast	MAP2K_1	EGFR	1	1	10	83.80012983	0.1	0.028689544	0.9608528	34.52898889	-18.64662	EGFR.MAP2K_1	train	15.251813
MDA-MB-468	breast	MAP2K_1	EGFR	1	0.194287655	2.9571838	92.2709394	0.1	0.028376821	2.9416662	81.26014248	100.9543	EGFR.MAP2K_1	train	47.36732
M14	melanoma	MAP2K_1	EGFR	1	0.185574243	0.8362116	4.68614319	0.1	0.095983777	0.6894753	0	32.81099	EGFR.MAP2K_1	train	33.007103
BT-474	breast	EGFR_2	AKT_1	1	0.137810888	1.4365156	10.36992065	1	0.183729034	1.2067246	0	43.64678	AKT_1.EGFR_2	train	31.137733
BT-474	breast	EGFR_2	AKT_1	3	0.235905868	0.9168335	0	3	0.206499424	1.5423973	7.04303812	48.22565	AKT_1.EGFR_2	train	31.634851
CAMA-1	breast	EGFR_2	AKT_1	1	1	0	100	1	0.800610685	0.8864847	0	-6.894141	AKT_1.EGFR_2	train	10.224435
CAMA-1	breast	EGFR_2	AKT_1	3	1	0	100	3	1.427639895	1.6133203	0	7.759386	AKT_1.EGFR_2	train	10.321895
HCC1419	breast	EGFR_2	AKT_1	3	0.52847393	1.5248397	36.90457236	3	0.132235477	1.0148686	32.72511597	32.55876	AKT_1.EGFR_2	train	33.286343
HCC1500	breast	EGFR_2	AKT_1	1	1	0	100	1	0.502520112	1.2925281	0	9.670229	AKT_1.EGFR_2	train	7.383636
HCC1954	breast	EGFR_2	AKT_1	3	0.223736655	1.9575749	43.26745134	3	1.412989503	0.9118778	0	66.96092	AKT_1.EGFR_2	train	44.56204
MDA-MB-415	breast	EGFR_2	AKT_1	3	1	0	100	3	0.192985332	1.5193649	40.32136795	4.117219	AKT_1.EGFR_2	train	16.234306
MDA-MB-436	breast	EGFR_2	AKT_1	3	0.171279674	10	91.89111869	3	3	0.4279361	60.00786677	18.44421	AKT_1.EGFR_2	train	3.784666
MDA-MB-453	breast	EGFR_2	AKT_1	3	3	0.5026929	47.18000323	3	0.595632323	0.9565002	23.13927708	16.69216	AKT_1.EGFR_2	train	19.022913
UACC-812	breast	EGFR_2	AKT_1	1	0.022181083	2.9368756	37.70882956	1	1	0	100	34.01387	AKT_1.EGFR_2	train	13.250916
A549	lung_NSCLC_adenocarcinoma	EGFR_2	ALK	1	1	0	100	3	1.479930367	2.699951	0	25.55663	ALK.EGFR_2	train	13.087009
Calu-6	lung_NSCLC_adenocarcinoma	EGFR_2	ALK	1	1	0	100	3	1.519638777	10	33.32592617	0.6648298	ALK.EGFR_2	train	-4.6453176
DMS-114	lung_small_cell_carcinoma	EGFR_2	ALK	1	1	10	93.80002362	3	0.55290023	1.0045328	0	6.777539	ALK.EGFR_2	train	5.9501243
NCI-H1299	lung_NSCLC_large cell	EGFR_2	ALK	1	1	0	100	3	1.539299285	1.6910796	0	18.30909	ALK.EGFR_2	train	17.6079
NCI-H1437	lung_NSCLC_adenocarcinoma	EGFR_2	ALK	1	0.03728732	0.2963441	72.29089018	3	0.704059318	0.8070684	0	-2.729943	ALK.EGFR_2	train	10.996365
NCI-H1563	lung_NSCLC_adenocarcinoma	EGFR_2	ALK	1	1	0.5657325	17.63737468	3	0.695082853	1.694252	1.42824825	-1.687451	ALK.EGFR_2	train	1.8018829
NCI-H1975	lung_NSCLC_adenocarcinoma	EGFR_2	ALK	1	0.323376613	3.7794389	87.4263093	3	0.54797456	1.274686	0	0.797784	ALK.EGFR_2	train	0.46787792
NCI-H2228	lung_NSCLC_adenocarcinoma	EGFR_2	ALK	1	1	0.1486843	19.28137991	3	0.030696499	0.8487233	0	4.356899	ALK.EGFR_2	train	16.962269
NCI-H23	lung_NSCLC_adenocarcinoma	EGFR_2	ALK	1	0.0001	0.1	80.73818801	3	0.048313947	0.9963781	36.60627461	-13.29691	ALK.EGFR_2	train	3.2994084
NCI-H838	lung_NSCLC_adenocarcinoma	EGFR_2	ALK	1	1	0	100	3	0.949170215	1.8591189	0	23.09169	ALK.EGFR_2	train	22.921034
BT-20	breast	ERBB	AKT	3	0.013879472	0.8737687	76.19738339	3	1.180737562	0.9237286	1.90126474	75.40316	AKT.ERBB	train	38.585064
BT-20	breast	ERBB	AKT	1	0.164626818	10	77.57808386	1	1	1.1563535	44.99069051	1.371758	AKT.ERBB	train	32.294003
CAL-120	breast	ERBB	AKT	1	1	10	93.20010886	1	0.10268144	1.2696766	57.50403171	0.1959933	AKT.ERBB	train	17.595972
CAL-51	breast	ERBB	AKT	1	1	2.2537852	79.01156188	1	0.306863614	1.4159416	41.73221962	7.8161	AKT.ERBB	train	17.925734
CAMA-1	breast	ERBB	AKT	3	1	0	100	3	0.070916385	0.554179	0	10.14614	AKT.ERBB	train	23.018057
CAMA-1	breast	ERBB	AKT	1	1	0	100	1	0.206064981	1.8686735	14.60843846	15.01301	AKT.ERBB	train	21.119741
HCC1143	breast	ERBB	AKT	1	0.015128561	0.6751478	58.03471077	1	1	0.3290335	47.10975131	19.85155	AKT.ERBB	train	16.280523
HCC1395	breast	ERBB	AKT	1	1	0	100	1	0.338840391	1.3264009	46.88858622	23.01357	AKT.ERBB	train	25.969751
HCC1419	breast	ERBB	AKT	3	0.140780665	1.1010642	18.4532825	3	0.623293048	0.5647822	0	32.66274	AKT.ERBB	train	35.979427
HCC1428	breast	ERBB	AKT	1	0.04183785	0.6565883	80.62916794	1	1	0	100	-7.973875	AKT.ERBB	train	10.741679
HCC1954	breast	ERBB	AKT	3	0.072592599	0.6781367	23.03683122	3	0.128993277	0.3857207	0	60.80097	AKT.ERBB	train	50.194202
Hs-578-T	breast	ERBB	AKT	1	1	0	100	1	0.169301857	1.1627798	55.09149299	5.710976	AKT.ERBB	train	23.836884
MDA-MB-157	breast	ERBB	AKT	3	3	0.3830324	33.07152339	3	0.297743676	0.1948856	0	-3.505665	AKT.ERBB	train	34.85916
MDA-MB-157	breast	ERBB	AKT	1	1	0.914037	62.31414444	1	0.274666544	10	83.59979173	50.51452	AKT.ERBB	train	30.845213
MDA-MB-453	breast	ERBB	AKT	3	3	0.9236518	13.63669177	3	1.63100158	0.6606627	0	17.31706	AKT.ERBB	train	31.809313
MDA-MB-453	breast	ERBB	AKT	1	0.287265943	10	55.99917864	1	0.304807933	2.5079252	33.73623533	39.78023	AKT.ERBB	train	29.197088
MDA-MB-468	breast	ERBB	AKT	3	3	0.2117174	36.94962351	3	2.392358916	10	0	106.8248	AKT.ERBB	train	45.938183
MDA-MB-468	breast	ERBB	AKT	1	1	10	82.00000479	1	0.310561393	10	45.6994919	74.66898	AKT.ERBB	train	40.58033
647-V	Bladder	FGFR	ERBB	3	1	0	100	0.1	0.071646393	1.4175385	72.73507185	13.62757	ERBB.FGFR	train	27.163551
BT-20	breast	FGFR	ERBB	1	1	0.4606182	79.33349144	1	0.2672081	10	70.2992931	-1.81518	ERBB.FGFR	train	32.331375
BT-549	breast	FGFR	ERBB	1	1	0.4781451	13.37940789	1	0.115481209	10	86.94969851	9.494321	ERBB.FGFR	train	23.441523
CAL-120	breast	FGFR	ERBB	1	0.025526342	10	86.93308291	1	0.326953295	10	92.59987958	69.96979	ERBB.FGFR	train	26.65116
HCC1143	breast	FGFR	ERBB	1	1	0.1079868	84.57075287	1	0.019325649	0.6523542	55.63633761	25.63454	ERBB.FGFR	train	22.660414
HCC1395	breast	FGFR	ERBB	1	0.009374741	1.4137862	47.21351267	1	1	0.3218791	84.79074927	64.35238	ERBB.FGFR	train	41.782368
HCC1428	breast	FGFR	ERBB	1	1	0	100	1	1	0	100	10.78371	ERBB.FGFR	train	11.356753
Hs-578-T	breast	FGFR	ERBB	1	0.0001	0.1	82.81528786	1	0.0001	0.1	89.84287612	29.89334	ERBB.FGFR	train	16.598303
HT-1376	Bladder	FGFR	ERBB	3	1.445313474	2.0093135	77.72653411	1	0.071166989	0.949218	46.06431293	2.598166	ERBB.FGFR	train	36.296303
J82	Bladder	FGFR	ERBB	3	0.485298921	0.4013465	45.39587961	3	0.0003	0.1	83.73521545	40.04342	ERBB.FGFR	train	43.695995
MDA-MB-157	breast	FGFR	ERBB	1	0.036920388	1.2252513	30.94015628	1	0.258404635	10	72.19895717	39.6997	ERBB.FGFR	train	46.80879
MDA-MB-231	breast	FGFR	ERBB	1	0.325447046	10	88.59983604	1	1	0	100	-15.08077	ERBB.FGFR	train	12.388051
MDA-MB-436	breast	FGFR	ERBB	1	0.095812749	0.8172132	87.06407884	1	0.114823454	10	84.54949093	-5.823226	ERBB.FGFR	train	17.806753
T-24	Bladder	FGFR	ERBB	3	1	0	100	3	3	10	80.4001015	-1.508726	ERBB.FGFR	train	17.584232
647-V	Bladder	IAP	ERBB	0.003	0.000605017	1.5861738	3.7193425	0.1	0.098724477	0.9914944	58.23374099	6.407124	ERBB.IAP	train	1.7324781
J82	Bladder	IAP	ERBB	3	0.005145618	0.6543879	21.539376	3	0.0003	0.1	84.81167039	16.83164	ERBB.IAP	train	4.252133
SW780	Bladder	IAP	ERBB	0.03	0.00112419	0.7521875	55.08606163	3	1	0	100	-178.6541	ERBB.IAP	train	-18.052368
T-24	Bladder	IAP	ERBB	1	0.253577733	10	86.5986168	3	1.131137558	10	84.49909728	-18.59214	ERBB.IAP	train	-13.7027
TCCSUP	Bladder	IAP	ERBB	0.03	0.000514951	0.2972573	61.17245785	3	3	0.1308894	75.25485677	21.87748	ERBB.IAP	train	-5.714128
BT-20	breast	MAP2K_1	ERBB	1	0.026321976	0.7874488	52.44039043	1	0.169858448	1.0686219	69.72838867	26.87017	ERBB.MAP2K_1	train	44.59544
CAL-148	breast	MAP2K_1	ERBB	1	1	0	100	1	1	0	100	36.9506	ERBB.MAP2K_1	train	29.789862
CAMA-1	breast	MAP2K_1	ERBB	1	1	10	92.00001425	1	1	0	100	11.67747	ERBB.MAP2K_1	train	23.130867
HCC1806	breast	MAP2K_1	ERBB	1	0.294223526	1.338853	29.93877001	1	1	0	100	50.84485	ERBB.MAP2K_1	train	37.102444
HCC1937	breast	MAP2K_1	ERBB	1	0.48596048	0.6678448	69.09869753	1	0.010755974	1.6426269	85.27363087	43.78416	ERBB.MAP2K_1	train	39.522312
HCC38	breast	MAP2K_1	ERBB	1	0.042069364	0.6920342	77.69904131	1	0.0001	0.1	72.82270966	34.01219	ERBB.MAP2K_1	train	37.410336
Hs-578-T	breast	MAP2K_1	ERBB	1	0.102716883	0.6662854	49.61152176	1	0.017424438	2.734368	81.43335048	-3.743074	ERBB.MAP2K_1	train	22.563429
HT-1197	Bladder	MAP2K_1	ERBB	1	1	0.802278	67.97284183	3	1	0	100	-0.2337827	ERBB.MAP2K_1	train	23.27342
HT-1376	Bladder	MAP2K_1	ERBB	3	3	0.5461351	16.2816006	1	0.10120688	1.343014	45.7416797	56.20092	ERBB.MAP2K_1	train	50.35662
MDA-MB-231	breast	MAP2K_1	ERBB	1	1	0.6647821	0.28349812	1	1	10	91.00003542	28.10739	ERBB.MAP2K_1	train	23.053205
MDA-MB-453	breast	MAP2K_1	ERBB	1	1	0	100	1	0.287333728	10	51.99917781	-22.73189	ERBB.MAP2K_1	train	27.293638
MDA-MB-468	breast	MAP2K_1	ERBB	1	1	0	100	1	0.282733442	10	94.0998588	114.8552	ERBB.MAP2K_1	train	58.323948
SW780	Bladder	MAP2K_1	ERBB	3	1.443730183	2.4458406	45.38994289	3	1	0	100	83.7001	ERBB.MAP2K_1	train	35.947445
UM-UC-3	Bladder	MAP2K_1	ERBB	3	0.244339375	5.0589722	55.47545684	3	3	1.881083	49.54384926	27.59342	ERBB.MAP2K_1	train	40.319126
VM-CUB-1	Bladder	MAP2K_1	ERBB	3	0.295626764	1.2074194	74.80007462	3	0.0003	0.1	60.12624545	67.79423	ERBB.MAP2K_1	train	56.50652
BT-20	breast	MTOR_1	ERBB	1	0.079548	1.5110494	30.31123409	3	0.023267026	10	72.59999748	38.62213	ERBB.MTOR_1	train	23.973188
BT-20	breast	MTOR_1	ERBB	1	0.303612689	1.3102269	17.26390679	1	0.163462809	3.2425911	67.24134533	7.107197	ERBB.MTOR_1	train	26.147455
BT-474	breast	MTOR_1	ERBB	1	0.107248829	7.6437867	27.98609465	3	0.336325656	1.199593	0	-11.51616	ERBB.MTOR_1	train	15.511411
CAL-120	breast	MTOR_1	ERBB	1	0.162564356	1.0791309	24.44747837	1	0.0001	0.1	84.97023535	11.42428	ERBB.MTOR_1	train	15.833209
CAL-51	breast	MTOR_1	ERBB	1	0.192462955	1.3822135	18.97652401	1	0.44790495	10	88.7963602	-1.869222	ERBB.MTOR_1	train	13.458721
CAMA-1	breast	MTOR_1	ERBB	1	0.152224262	2.3035334	18.48662387	3	1	0	100	5.194003	ERBB.MTOR_1	train	8.2225275
CAMA-1	breast	MTOR_1	ERBB	1	0.357952196	1.8045804	18.58941267	1	0.425612085	10	93.19867357	-3.448257	ERBB.MTOR_1	train	4.2938647
HCC1187	breast	MTOR_1	ERBB	1	0.264869827	10	12.2998499	1	1	0	100	-0.6242202	ERBB.MTOR_1	train	6.391647
HCC1395	breast	MTOR_1	ERBB	1	0.516375485	0.7605263	6.9515642	1	1	0.3948379	77.11870643	-0.3383981	ERBB.MTOR_1	train	19.44003
HCC1569	breast	MTOR_1	ERBB	1	0.0001	0.1	66.33521891	3	3	0.2152073	67.56869582	6.16941	ERBB.MTOR_1	train	7.805486
HCC1806	breast	MTOR_1	ERBB	1	0.171633887	1.4746113	9.69665008	1	1	0	100	3.972506	ERBB.MTOR_1	train	23.769741
HCC1954	breast	MTOR_1	ERBB	1	0.075034799	3.7403569	18.84746036	3	0.111944978	0.8956798	29.2321781	58.95993	ERBB.MTOR_1	train	40.23975
Hs-578-T	breast	MTOR_1	ERBB	1	0.285208737	0.8035668	0	1	0.0001	0.1	91.25598047	1.693221	ERBB.MTOR_1	train	6.889947
MDA-MB-231	breast	MTOR_1	ERBB	1	0.323572741	0.9174724	24.76690413	1	1	0	100	-2.906901	ERBB.MTOR_1	train	10.387215
MDA-MB-361	breast	MTOR_1	ERBB	1	0.130810333	1.6520345	27.81521214	3	0.300626836	0.8680601	33.50743433	48.05224	ERBB.MTOR_1	train	24.694767
MDA-MB-415	breast	MTOR_1	ERBB	1	0.066685649	1.6138069	22.58096012	3	1	0	100	12.17432	ERBB.MTOR_1	train	20.048716
MDA-MB-468	breast	MTOR_1	ERBB	1	0.196390716	2.0076634	15.16322207	3	3	0.212982	22.41519413	53.9436	ERBB.MTOR_1	train	40.958134
MDA-MB-468	breast	MTOR_1	ERBB	1	1	1.117996	53.04136267	1	0.06156273	1.6927586	86.94597818	45.40276	ERBB.MTOR_1	train	32.62092
BT-20	breast	PIK3CA_4	ERBB	1	0.221478661	1.3825472	61.11384102	1	0.287679001	3.5108834	74.28126852	22.22986	ERBB.PIK3CA_4	train	8.415906
CAL-120	breast	PIK3CA_4	ERBB	1	0.037179605	10	82.79981388	1	0.0001	0.1	85.66275794	-30.30016	ERBB.PIK3CA_4	train	-8.867381
CAMA-1	breast	PIK3CA_4	ERBB	1	1	0	100	1	1	0	100	-54.48843	ERBB.PIK3CA_4	train	-10.4172325
HCC1187	breast	PIK3CA_4	ERBB	1	0.189207356	1.2369042	50.19742637	1	1	10	90.00004953	10.27425	ERBB.PIK3CA_4	train	-5.1143494
HCC1428	breast	PIK3CA_4	ERBB	1	1	0.1782707	83.93750259	1	0.0001	0.1	89.86709616	4.725561	ERBB.PIK3CA_4	train	-7.9510713
HCC1937	breast	PIK3CA_4	ERBB	1	1	0.3112818	72.65586031	1	0.006875254	1.224304	77.90838181	16.48142	ERBB.PIK3CA_4	train	2.5587907
HCC38	breast	PIK3CA_4	ERBB	1	1	10	87.00025981	1	0.017670757	10	94.49667688	8.18666	ERBB.PIK3CA_4	train	-5.3514132
Hs-578-T	breast	PIK3CA_4	ERBB	1	0.304208285	10	81.29984867	1	0.173763912	10	92.35577792	5.811497	ERBB.PIK3CA_4	train	-7.303403
MDA-MB-436	breast	PIK3CA_4	ERBB	1	0.269759902	10	85.19954438	1	0.288229205	10	83.79987936	-14.51429	ERBB.PIK3CA_4	train	-7.981791
MFM-223	breast	PIK3CA_4	ERBB	1	0.705352561	0.6496082	0	1	1	1.0277638	76.24620892	-28.81766	ERBB.PIK3CA_4	train	-5.5990787
BT-549	breast	ESR1	AKT_1	1	1	10	74.80006383	1	0.913037313	0.4997111	0	-24.67385	AKT_1.ESR1	train	-2.0052338
CAL-51	breast	ESR1	AKT_1	1	1	0	100	1	1	1.2975847	53.31734371	9.791399	AKT_1.ESR1	train	1.8752842
CAMA-1	breast	ESR1	AKT_1	1	0.054632006	1.3999442	56.8561087	1	0.317909498	10	29.79924442	33.99801	AKT_1.ESR1	train	4.023751
DU-4475	breast	ESR1	AKT_1	1	1	10	83.20005682	1	0.222341745	0.8553543	0	-18.34233	AKT_1.ESR1	train	-2.176128
HCC1143	breast	ESR1	AKT_1	1	1	0	100	1	0.168050497	0.8434343	68.44974961	-13.36032	AKT_1.ESR1	train	-6.0894833
HCC1937	breast	ESR1	AKT_1	1	1	0	100	1	1	0.5739381	43.59387331	-12.8115	AKT_1.ESR1	train	4.602411
HCC38	breast	ESR1	AKT_1	1	1	0	100	1	0.100338819	10	94.09998896	-11.54618	AKT_1.ESR1	train	-0.6014039
Hs-578-T	breast	ESR1	AKT_1	1	1	10	88.80007087	1	1	0.5646611	0.45209167	-6.839067	AKT_1.ESR1	train	2.668509
MDA-MB-231	breast	ESR1	AKT_1	1	1	0	100	1	0.240753169	1.6934801	85.23036209	1.7249	AKT_1.ESR1	train	0.017566852
MDA-MB-468	breast	ESR1	AKT_1	1	1	0	100	1	0.582836884	0.9724499	32.86319663	-5.470392	AKT_1.ESR1	train	18.879557
MFM-223	breast	ESR1	AKT_1	1	0.112109311	10	90.89977166	1	0.229422706	0.8624146	8.5816363	-2.276035	AKT_1.ESR1	train	3.051941
BT-20	breast	FGFR	ESR1	1	1	2.3617227	75.845241	1	0.282437493	10	90.09976429	2.885581	ESR1.FGFR	train	0.73566276
BT-549	breast	FGFR	ESR1	1	0.10279585	10	68.24968974	1	0.0001	0.1	91.62597064	9.718463	ESR1.FGFR	train	-1.9295921
CAL-51	breast	FGFR	ESR1	1	1	10	90.40005905	1	1	0	100	4.746579	ESR1.FGFR	train	-3.1628013
DU-4475	breast	FGFR	ESR1	1	0.310744358	10	79.89981366	1	1	0	100	-1.599624	ESR1.FGFR	train	-6.993115
HCC1187	breast	FGFR	ESR1	1	1	10	91.80002355	1	1	0	100	2.281585	ESR1.FGFR	train	-6.5674977
HCC1395	breast	FGFR	ESR1	1	0.014540091	2.2572919	53.39847255	1	1	0	100	-0.7297311	ESR1.FGFR	train	6.1041675
HCC1806	breast	FGFR	ESR1	1	0.0001	0.1	92.28297634	1	0.0001	0.1	94.4258199	3.388686	ESR1.FGFR	train	5.6790667
HCC1937	breast	FGFR	ESR1	1	1	0	100	1	1	0	100	6.788332	ESR1.FGFR	train	0.019028
HCC70	breast	FGFR	ESR1	1	1	0	100	1	1	0	100	-24.96078	ESR1.FGFR	train	-11.925561
MDA-MB-157	breast	FGFR	ESR1	1	0.028120129	1.2404934	33.26129402	1	1	0	100	1.102474	ESR1.FGFR	train	11.237455
MDA-MB-436	breast	FGFR	ESR1	1	1	10	88.40019858	1	1	0	100	-16.33541	ESR1.FGFR	train	-6.0456004
CAL-120	breast	MAP2K_1	ESR1	1	1	0.6061888	63.86694469	1	0.028808052	10	94.66665694	13.94696	ESR1.MAP2K_1	train	0.55352646
CAL-148	breast	MAP2K_1	ESR1	1	0.0001	0.1	83.90915519	1	1	0	100	-6.077363	ESR1.MAP2K_1	train	4.0252724
CAL-51	breast	MAP2K_1	ESR1	1	0.024418356	1.3564688	94.64515738	1	1	0	100	2.210563	ESR1.MAP2K_1	train	6.9895935
DU-4475	breast	MAP2K_1	ESR1	1	0.029819098	1.8515993	0	1	1	0.9694468	68.59759504	11.26972	ESR1.MAP2K_1	train	8.146358
HCC1187	breast	MAP2K_1	ESR1	1	0.499980864	0.5610505	21.41715234	1	1	0	100	26.22214	ESR1.MAP2K_1	train	8.104174
HCC1428	breast	MAP2K_1	ESR1	1	1	0	100	1	0.2692887	10	56.99959043	-20.26795	ESR1.MAP2K_1	train	-3.0283506
HCC1937	breast	MAP2K_1	ESR1	1	0.84573123	0.6055105	69.10984591	1	1	0	100	3.267776	ESR1.MAP2K_1	train	10.295514
MDA-MB-157	breast	MAP2K_1	ESR1	1	0.078268866	0.95917	61.78361463	1	1	0	100	2.434991	ESR1.MAP2K_1	train	23.206999
MDA-MB-231	breast	MAP2K_1	ESR1	1	0.316058807	1.6402465	46.46814817	1	1	0	100	10.08948	ESR1.MAP2K_1	train	6.520427
MDA-MB-453	breast	MAP2K_1	ESR1	1	0.587015342	1.3012013	45.97811225	1	0.275304353	10	87.8999035	3.625408	ESR1.MAP2K_1	train	3.8493536
MDA-MB-468	breast	MAP2K_1	ESR1	1	0.135672413	2.916042	90.38676114	1	1	10	94.20010659	-0.6210341	ESR1.MAP2K_1	train	26.342936
BT-549	breast	MTOR_1	ESR1	1	0.517856842	0.8492211	0	1	1	0	100	6.927788	ESR1.MTOR_1	train	-2.0162845
